fecha,Depósitos del tesoro en pesos,Depósitos del tesoro en usd
2025-08-20,-69590.4,126.39
2025-08-21,42038.85,24.86
2025-08-22,1048934.79,-6.2
2025-08-25,-67240.3,49.5
2025-08-26,-36081.94,26.97
2025-08-27,52657.43,-37.76
2025-08-28,-960548.86,23.42
2025-08-29,-22381.45,16.5
2025-09-01,-270742.53,238.19
2025-09-02,46570.79,-34.25
2025-09-03,-73221.99,44.18
2025-09-04,-389314.45,285.0
2025-09-05,-48676.78,38.65
2025-09-08,-31167.46,26.74
2025-09-09,5753.32,0.15
2025-09-10,218.12,0.05
2025-09-11,630941.28,0.03
2025-09-12,-75.45,430.22
2025-09-15,-1011.59,0.12
2025-09-16,999.74,-21.84
2025-09-17,-1015.45,19.0
2025-09-18,-84.57,0.0
2025-09-19,1486.67,16.04
2025-09-22,115512.7,-84.7
2025-09-23,-25304.05,19.0
2025-09-24,373441.13,-261.22
2025-09-25,1816907.17,-1263.37
2025-09-26,683951.41,-209.57
2025-09-29,-1666957.94,99.4
2025-09-30,-730517.35,543.51
2025-10-01,-292642.46,105.75
